hjd_utc mag unc
2458071.9943414 12.4795 0.0028
2458071.9958805 12.4784 0.0027
2458071.9974061 12.476 0.0027
2458071.9989486 12.4769 0.0026
2458072.0004769 12.4801 0.0026
2458072.0035502 12.4791 0.0026
2458072.0065972 12.4786 0.0026
2458072.0081422 12.4858 0.0026
2458072.0105639 12.4739 0.0026
2458072.0136167 12.4806 0.0025
2458072.0151562 12.4796 0.0026
2458072.0167014 12.4796 0.0026
2458072.0182275 12.488 0.0026
2458072.0197626 12.4888 0.0025
2458072.0213111 12.4856 0.0026
2458072.0228323 12.4875 0.0026
2458072.0243530 12.4852 0.0025
2458072.0268029 12.4946 0.0025
2458072.0283283 12.4975 0.0026
2458072.0298796 12.4847 0.0025
2458072.0314200 12.4853 0.0025
2458072.0329524 12.4924 0.0026
2458072.0344828 12.4899 0.0025
2458072.0360143 12.4882 0.0025
2458072.0375664 12.4909 0.0025
2458072.0391149 12.4869 0.0026
2458072.0406562 12.4908 0.0025
2458072.0431032 12.4904 0.0025
2458072.0446452 12.4909 0.0025
2458072.0461702 12.4891 0.0025
2458072.0477101 12.485 0.0025
2458072.0492365 12.4907 0.0025
2458072.0507722 12.4895 0.0025
2458072.0523084 12.4847 0.0025
2458072.0538298 12.4874 0.0025
2458072.0553637 12.4916 0.0025
2458072.0568884 12.4872 0.0025
2458072.0593443 12.4892 0.0025
2458072.0608676 12.4928 0.0025
2458072.0624086 12.4914 0.0025
2458072.0654738 12.487 0.0025
2458072.0669994 12.4911 0.0025
2458072.0685242 12.4922 0.0025
2458072.0715924 12.4952 0.0025
2458072.0731286 12.4901 0.0025
2458072.0755669 12.4903 0.0025
2458072.0771040 12.4863 0.0027
2458072.0786476 12.493 0.0025
2458072.0801743 12.4925 0.0025
2458072.0816990 12.4945 0.0025
2458072.0832200 12.4923 0.0025
2458072.0847474 12.4907 0.0025
2458072.0862930 12.492 0.0025
2458072.0878173 12.4933 0.0025
2458072.0893434 12.4869 0.0025
2458072.0918190 12.4866 0.0025
2458072.0933668 12.4951 0.0025
2458072.0964394 12.4883 0.0025
2458072.0979634 12.4932 0.0025
2458072.0994973 12.4858 0.0025
2458072.1010442 12.492 0.0025
2458072.1025928 12.4912 0.0025
2458072.1056665 12.4938 0.0026
2458072.1081175 12.4947 0.0025
2458072.1096413 12.4981 0.0026
2458072.1111692 12.489 0.0026
2458072.1142362 12.4874 0.0026
2458072.1157563 12.4878 0.0026
2458072.1172837 12.4889 0.0026
2458072.1203606 12.4896 0.0026
2458072.1243679 12.4926 0.0027
2458072.1259057 12.4877 0.0028
2458072.1274492 12.4928 0.0028
2458072.1289738 12.4844 0.0028
2458072.1305055 12.4927 0.0028
2458072.1320372 12.4901 0.0029
2458072.1335837 12.4741 0.0032
2458072.1351088 12.4887 0.0038
2458072.1366385 12.485 0.0042
2458072.1381662 12.4822 0.0036
2458072.1406087 12.4848 0.0037
2458072.1421608 12.4773 0.0034
2458072.1436845 12.4787 0.003
2458072.1452132 12.4857 0.0029
2458072.1467364 12.4819 0.0028
2458072.1482581 12.48 0.0027
2458072.1498001 12.4783 0.0028
2458072.1513304 12.4753 0.0029
2458072.1528724 12.4819 0.0031
2458072.1543963 12.4778 0.0036
2458072.1568595 12.4826 0.0033
2458072.1583964 12.4773 0.0032
2458072.1599245 12.4841 0.0032
2458072.1614544 12.4685 0.0035
2458072.1629758 12.4772 0.0032
2458072.1645214 12.484 0.0031
2458072.1660795 12.4775 0.003
2458072.1676161 12.4803 0.003
2458072.1691422 12.4777 0.0031
2458072.1706677 12.477 0.0032
2458072.1731090 12.4766 0.0032
2458072.1746313 12.4803 0.0032
2458072.1761544 12.4776 0.0034
2458072.1776852 12.4769 0.0038
2458072.1792135 12.4869 0.0047
2458072.1838099 12.4644 0.0044
2458072.1853354 12.4835 0.0042
2458072.1868588 12.4723 0.0039
2458072.1893273 12.4728 0.0036
2458072.1908626 12.4688 0.0032
2458072.1924032 12.4761 0.0033
2458072.1939304 12.4737 0.0034
2458072.1954538 12.4792 0.0034
2458072.1970017 12.484 0.0037
2458072.1985384 12.4687 0.0036
2458072.2000645 12.4898 0.0039
2458072.2015888 12.4822 0.0048
